CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON
142,45180,45180,"Talladega-Sylacauga, AL","Talladega-Sylacauga, AL Micro Area",M2,2,G3110,3594135661,100885786,+33.1860858,-086.1977569
533,45220,45220,"Tallahassee, FL","Tallahassee, FL Metro Area",M1,1,G3110,6184046488,556610306,+30.3864276,-084.2804098
,45300,45300,"Tampa-St. Petersburg-Clearwater, FL","Tampa-St. Petersburg-Clearwater, FL Metro Area",M1,1,G3110,6512723734,2115378596,+28.1259071,-082.4652858
,45340,45340,"Taos, NM","Taos, NM Micro Area",M2,2,G3110,5704119092,3383126,+36.5765287,-105.6379865
522,45380,45380,"Taylorville, IL","Taylorville, IL Micro Area",M2,2,G3110,1837278858,16221514,+39.5455242,-089.2795927
,47180,47180,"Vincennes, IN","Vincennes, IN Micro Area",M2,2,G3110,1336508529,20760770,+38.6883910,-087.4203544
,45460,45460,"Terre Haute, IN","Terre Haute, IN Metro Area",M1,1,G3110,3794473109,51187615,+39.3923890,-087.3470958
,45500,45500,"Texarkana, TX-AR","Texarkana, TX-AR Metro Area",M1,1,G3110,5290955790,213758226,+33.4783701,-094.2071694
,45520,45520,"The Dalles, OR","The Dalles, OR Micro Area",M2,2,G3110,6167121090,35716361,+45.1645359,-121.1650693
422,45540,45540,"The Villages, FL","The Villages, FL Metro Area",M1,1,G3110,1418393423,83347578,+28.7143099,-082.0747031
122,45580,45580,"Thomaston, GA","Thomaston, GA Micro Area",M2,2,G3110,837696990,10663279,+32.8818366,-084.2922810
,45620,45620,"Thomasville, GA","Thomasville, GA Micro Area",M2,2,G3110,1410511577,19726755,+30.8646064,-083.9198196
248,45660,45660,"Tiffin, OH","Tiffin, OH Micro Area",M2,2,G3110,1427146050,4582482,+41.1199923,-083.1275469
,45700,45700,"Tifton, GA","Tifton, GA Micro Area",M2,2,G3110,675665505,20495108,+31.4570027,-083.5259307
